opportunity_id,account_name,contact_email,owner_id,stage,amount,close_date,created_date,source,amount_parsed,close_date_parsed,created_date_parsed,stage_standardized,email_valid
OP-04082,Tidewater Marine,ben.garcia@yahoo.com,U-1031,prospecting,155286.76,2024-10-20,2024-05-28,Trade Show,155286.76,2024-10-20,2024-05-28,Prospecting,True
OP-01993,Keystone Energy,liam.nguyen@yahoo.com,U-1032,Qualifcation,88451.29,2026-06-25,2026-02-22,Web Form,88451.29,2026-06-25,2026-02-22,Qualification,True
OP-01858,Acme Industrial,chris.nguyen@company.com,U-1038,,28599.15,2025-12-23,2025-09-02,Web Form,28599.15,2025-12-23,2025-09-02,,True
OP-02962,Onyx Pharma,maya.johnson@company.com,U-1009,Negotiation,110304.76,2025-03-23,2025-02-13,Inbound Call,110304.76,2025-03-23,2025-02-13,Proposal,True
OP-01691,Juniper Retail,owen.smith@yahoo.com,U-1036,Qualified,238105.62,2026-04-05,2025-10-13,Partner Referral,238105.62,2026-04-05,2025-10-13,Qualification,True
OP-D0016,Vertex Capital,ethan.kim@outlook.com,U-1017,New Lead,122613.22,2026-12-06,2026-07-18,Outbound SDR,122613.22,2026-12-06,2026-07-18,Prospecting,True
OP-02861,Redwood Outdoors,nina.garcia@gmail.com,U-1037,Won,157307.77,2026-01-04,2025-10-13,Bulk Import,157307.77,2026-01-04,2025-10-13,Closed Won,True
OP-01731,DeltaWave Media,aisha.moore@example.org,U-1006,closed won,150808.16,2026-06-07,2026-03-20,Web Form,150808.16,2026-06-07,2026-03-20,Closed Won,True
OP-02090,Ironclad Security,noah.moore@gmail.com,U-1014,Prospecting,86299.23,2024-03-13,2024-01-17,Partner Referral,86299.23,2024-03-13,2024-01-17,Prospecting,True
OP-02506,Xenon Robotics,lena.miller@company.com,U-1035,Closed-Lost,184931.64,2024-08-26,2024-07-09,Outbound SDR,184931.64,2024-08-26,2024-07-09,Closed Lost,True
OP-D0053,Larkspur Labs,ella.kim@outlook.com,U-1039,Qualification,115108.16,2025-07-01,2025-02-16,Partner Referral,115108.16,2025-07-01,2025-02-16,Qualification,True
OP-00725,Tidewater Marine,maya.smith@gmail.com,U-1003,Proposal,"USD 169,694.97",2026-01-08,2025-06-27,Partner Referral,169694.97,2026-01-08,2025-06-27,Proposal,True
OP-02633,Everline Health,kara.wilson@gmail.com,U-1005,Qualifcation,87732.16,2026-08-26,2026-05-15,Partner Referral,87732.16,2026-08-26,2026-05-15,Qualification,True
OP-00272,Onyx Pharma,lena.davis@company.com,U-1009,Discovery,,2025-05-09,2025-04-27,Trade Show,,2025-05-09,2025-04-27,Qualification,True
OP-03921,Granite Ridge Co,zoe.miller@yahoo.com,U-1036,Prospecting,99170.64,2026-01-21,2025-09-09,Bulk Import,99170.64,2026-01-21,2025-09-09,Prospecting,True
OP-04470,Everline Health,ella.patel@gmail.com,U-1037,Prospecting,184399.75,,2026-04-28,Trade Show,184399.75,,2026-04-28,Prospecting,True
OP-00842,Quartzline Telecom,liam.brown@company.com,U-1013,Qualifcation,"$138,129",2025-08-03,2025-07-04,Inbound Call,138129.0,2025-08-03,2025-07-04,Qualification,True
OP-04515,Onyx Pharma,owen.johnson@outlook.com,U-1030,Qualifcation,191832.44,2024-09-17,2024-04-02,Inbound Call,191832.44,2024-09-17,2024-04-02,Qualification,True
OP-02929,Larkspur Labs,noah.davis@outlook.com,U-1035,Qualifcation,26431.02,2025-12-15,2025-05-25,Inbound Call,26431.02,2025-12-15,2025-05-25,Qualification,True
OP-02742,Granite Ridge Co,dev.davis@company.com,U-1018,Prospect,"$184,200",2026-08-05,2025-12-12,Bulk Import,184200.0,2026-08-05,2025-12-12,Prospecting,True
OP-00702,Xenon Robotics,zoe.brown@outlook.com,U-1019,Qualification,178975.82,2025-03-10,2024-10-09,Bulk Import,178975.82,2025-03-10,2024-10-09,Qualification,True
OP-04431,ForgePoint Systems,priya.wilson@example.org,U-1033,Prospect,"$199,580.41",2025-07-10,2024-11-28,Partner Referral,199580.41,2025-07-10,2024-11-28,Prospecting,True
OP-02444,Copperline Foods,owen.nguyen@example.org,U-1005,ClosedLost,244213.24,2025-06-24,2025-01-05,Outbound SDR,244213.24,2025-06-24,2025-01-05,Closed Lost,True
OP-02035,Xenon Robotics,marcus.taylor@yahoo.com,U-1033,PROSPECTING,191848.33,2025-02-07,2024-11-12,Bulk Import,191848.33,2025-02-07,2024-11-12,Prospecting,True
OP-02052,Acme Industrial,ethan.miller@example.org,U-1010,ClosedWon,,2025-05-12,2025-04-16,Inbound Call,,2025-05-12,2025-04-16,Closed Won,True
OP-02118,Onyx Pharma,,U-1038,Proposal Sent,"$57,295.36",2025-03-24,2024-12-07,Partner Referral,57295.36,2025-03-24,2024-12-07,Proposal,
OP-02995,Larkspur Labs,nina.garcia@company.com,U-1032,Qualification,116355.87,2025-02-26,2024-07-03,Web Form,116355.87,2025-02-26,2024-07-03,Qualification,True
OP-02926,Granite Ridge Co,chris.taylor@outlook.com,U-1009,Discovery,173071.51,2024-08-16,2024-07-03,Inbound Call,173071.51,2024-08-16,2024-07-03,Qualification,True
OP-03513,Juniper Retail,zoe.johnson@yahoo.com,U-1032,Qualifcation,153325.86,2024-12-19,2024-05-23,Outbound SDR,153325.86,2024-12-19,2024-05-23,Qualification,True
OP-01201,Umbra Defense,aisha.garcia@example.org,U-1035,Closed Lost,114656.88,2027-02-21,2026-07-08,Inbound Call,114656.88,2027-02-21,2026-07-08,Closed Lost,True
OP-00608,BluePeak Logistics,lena.anderson@gmail.com,U-1032,,164508.44,2025-04-21,2024-10-05,Trade Show,164508.44,2025-04-21,2024-10-05,,True
OP-01159,BluePeak Logistics,karaanderson@outlook.com,U-8888,Lost,238927.77,2025-03-10,2025-01-18,Trade Show,238927.77,2025-03-10,2025-01-18,Closed Lost,True
OP-03851,Pinnacle Travel,marcus.anderson@yahoo.com,U-1011,Qualification,"$105,222.13",2026-08-15,2026-06-21,Trade Show,105222.13,2026-08-15,2026-06-21,Qualification,True
OP-01212,Copperline Foods,dev.moore@gmail.com,U-1019,,"$232,626.67",2025-01-14,2024-10-23,Trade Show,232626.67,2025-01-14,2024-10-23,,True
OP-03542,Acme Industrial,sofia.smith@yahoo.com,U-1010,Qualification,22661.30,2026-01-04,2025-06-06,Trade Show,22661.3,2026-01-04,2025-06-06,Qualification,True
OP-03575,Silverline SaaS,marcus.wilson@gmail.com,U-1033,closed won,129158.09,,2026-02-18,Bulk Import,129158.09,,2026-02-18,Closed Won,True
OP-04596,Redwood Outdoors,priya.davis@yahoo.com,U-1019,ClosedLost,103714.08,2024-04-22,2024-02-08,Trade Show,103714.08,2024-04-22,2024-02-08,Closed Lost,True
OP-00829,Onyx Pharma,lena.garcia@company.com,U-1030,Prospecting,220564.03,2025-09-09,2025-06-20,Bulk Import,220564.03,2025-09-09,2025-06-20,Prospecting,True
OP-D0001,Redwood Outdoors,zoe.lee@gmail.com,U-1028,Proposal Sent,"$130,253.91",2024-09-28,2024-07-11,Outbound SDR,130253.91,2024-09-28,2024-07-11,Proposal,True
OP-01521,Acme Industrial,ella.kim@outlook.com,U-1005,qualification,49300.84,2025-07-25,2025-02-12,Inbound Call,49300.84,2025-07-25,2025-02-12,Qualification,True
OP-D0293,Vertex Capital,dev.smith@gmail.com,U-1010,Qualified,38866.30,2026-03-25,2026-01-14,Bulk Import,38866.3,2026-03-25,2026-01-14,Qualification,True
OP-01407,Ironclad Security,dev.kim@gmail.com,U-1029,Closed Won,199025.05,2025-11-05,2025-07-28,Web Form,199025.05,2025-11-05,2025-07-28,Closed Won,True
OP-00293,Juniper Retail,priya.thomas@gmail.com,U-1030,Qualification,94805.49,2024-12-28,2024-08-09,Bulk Import,94805.49,2024-12-28,2024-08-09,Qualification,True
OP-01210,Silverline SaaS,ben.nguyen@outlook.com,U-1035,Closed-Lost,147820.95,2027-03-10,2026-07-19,Trade Show,147820.95,2027-03-10,2026-07-19,Closed Lost,True
OP-03544,BluePeak Logistics,aisha.taylor@gmail.com,U-1020,Prospecting,65443.53,2025-01-18,2024-10-09,Outbound SDR,65443.53,2025-01-18,2024-10-09,Prospecting,True
OP-04698,Onyx Pharma,maya.kim@company.com,U-1028,Qualified,237535.18,2024-09-18,2024-04-02,Inbound Call,237535.18,2024-09-18,2024-04-02,Qualification,True
OP-03374,Umbra Defense,marcus.taylor@company.com,U-1027,closed lost,188442.45,2026-10-22,2026-04-26,Trade Show,188442.45,2026-10-22,2026-04-26,Closed Lost,True
OP-01986,Copperline Foods,kara.anderson@gmail.com,U-1031,ClosedLost,"$207,703.54",2024-08-12,2024-06-23,Partner Referral,207703.54,2024-08-12,2024-06-23,Closed Lost,True
OP-D0125,Acme Industrial,owen.brown@yahoo.com,U-8888,,,2026-05-08,2026-03-19,Inbound Call,,2026-05-08,2026-03-19,,True
OP-01339,Northgate Auto,ben.kim@example.org,U-1008,prospecting,51208.78,2024-10-28,2024-07-28,Outbound SDR,51208.78,2024-10-28,2024-07-28,Prospecting,True
OP-03058,Juniper Retail,lena.moore@example.org,U-1038,Won,96484.37,2027-01-24,2026-07-07,Bulk Import,96484.37,2027-01-24,2026-07-07,Closed Won,True
OP-04543,Harborline Bank,ava.thomas@gmail.com,U-1002,Qualification,178909.22,2026-12-05,2026-07-06,Outbound SDR,178909.22,2026-12-05,2026-07-06,Qualification,True
OP-01705,Harborline Bank,liam.nguyen@outlook.com,U-1003,PROSPECTING,"$188,227",2025-11-19,2027-01-10,Web Form,188227.0,2025-11-19,2027-01-10,Prospecting,True
OP-00401,Meridian Freight,zoe.davis@example.org,U-1005,Closed Won,11168.60,2026-05-01,2026-03-05,Bulk Import,11168.6,2026-05-01,2026-03-05,Closed Won,True
OP-03359,ForgePoint Systems,raj.nguyen@example.org,U-1016,prospecting,120596.91,,2025-01-23,Partner Referral,120596.91,,2025-01-23,Prospecting,True
OP-D0231,Juniper Retail,ethan.moore@company.com,U-1036,Qualification,70187.83,2026-05-24,2026-01-18,Inbound Call,70187.83,2026-05-24,2026-01-18,Qualification,True
OP-D0103,Pinnacle Travel,dev.miller@example.org,U-1036,Qualification,241979.21,2026-02-11,2025-10-15,Web Form,241979.21,2026-02-11,2025-10-15,Qualification,True
OP-02481,Larkspur Labs,nina.patel@outlook.com,U-1018,Qualification,"$191,932.41",2025-07-01,2024-11-22,Bulk Import,191932.41,2025-07-01,2024-11-22,Qualification,True
OP-03390,Meridian Freight,owen.davis@outlook.com,U-1039,Proposal Sent,236653.16,2025-06-07,2025-01-13,Outbound SDR,236653.16,2025-06-07,2025-01-13,Proposal,True
OP-03775,Umbra Defense,liam.miller@example.org,U-1030,Proposal,146162.98,2025-10-28,2026-10-13,Partner Referral,146162.98,2025-10-28,2026-10-13,Proposal,True
OP-02314,Pinnacle Travel,chris.thomas@gmail.com,U-1025,,207510.54,2025-06-02,2024-12-29,Trade Show,207510.54,2025-06-02,2024-12-29,,True
OP-00435,,lena.patel@yahoo.com,U-1038,prospecting,84771.94,2024-06-21,2024-03-14,Inbound Call,84771.94,2024-06-21,2024-03-14,Prospecting,True
OP-04610,Meridian Freight,lena.miller@outlook.com,U-1014,New Lead,92666.44,2026-11-06,2026-06-22,Outbound SDR,92666.44,2026-11-06,2026-06-22,Prospecting,True
OP-03724,Granite Ridge Co,raj.brown@outlook.com,U-1005,Negotiation,,2024-07-16,2024-02-22,Web Form,,2024-07-16,2024-02-22,Proposal,True
OP-02235,Granite Ridge Co,marcus.anderson@example.org,U-8888,Proposal,131923.69,2024-07-02,2024-02-24,Outbound SDR,131923.69,2024-07-02,2024-02-24,Proposal,True
OP-01643,Xenon Robotics,owen.thomas@company.com,U-1030,Qualified,3220.13,2025-09-22,2025-07-06,Trade Show,3220.13,2025-09-22,2025-07-06,Qualification,True
OP-04617,Silverline SaaS,nina.kim@gmail.com,U-1034,qualification,141125.90,2024-04-12,2024-03-08,Trade Show,141125.9,2024-04-12,2024-03-08,Qualification,True
OP-02355,Vertex Capital,owen.wilson@gmail.com,U-1023,Qualification,178915.32,2025-06-01,2025-01-21,Web Form,178915.32,2025-06-01,2025-01-21,Qualification,True
OP-01567,Copperline Foods,aisha.johnson@gmail.com,U-1035,Qualifcation,,2024-04-19,2024-02-16,Trade Show,,2024-04-19,2024-02-16,Qualification,True
OP-02866,Harborline Bank,lena.moore@company.com,U-1032,Qualification,104019.15,2025-03-31,2024-11-18,Partner Referral,104019.15,2025-03-31,2024-11-18,Qualification,True
OP-00100,Willow Creek Farms,priya.brown@example.org,U-1030,PROSPECTING,105857.51,2024-06-16,2024-04-22,Trade Show,105857.51,2024-06-16,2024-04-22,Prospecting,True
OP-01105,Tidewater Marine,chris.smith@outlook.com,U-1025,closed lost,49864.34,2026-08-28,2026-07-24,Inbound Call,49864.34,2026-08-28,2026-07-24,Closed Lost,True
OP-00851,Yellowpine Lumber,raj.kim@example.org,U-1018,,48274.09,2025-08-05,2025-01-17,Inbound Call,48274.09,2025-08-05,2025-01-17,,True
OP-03729,Tidewater Marine,owen.taylor@outlook.com,U-1010,Quote Sent,152796.20,2024-08-05,2024-06-04,Trade Show,152796.2,2024-08-05,2024-06-04,Proposal,True
OP-02660,Yellowpine Lumber,owen.davis@outlook.com,U-1002,Qualification,173770.41,2025-05-04,2024-11-02,Trade Show,173770.41,2025-05-04,2024-11-02,Qualification,True
OP-03257,Harborline Bank,noah.brown@company.com,U-1006,Won,153084.18,2026-10-08,2026-06-22,Inbound Call,153084.18,2026-10-08,2026-06-22,Closed Won,True
OP-00066,Copperline Foods,marcus.moore@yahoo.com,U-1036,Prospect,114504.16,2026-06-25,2026-02-03,Bulk Import,114504.16,2026-06-25,2026-02-03,Prospecting,True
OP-03653,Zephyr Airlines,maya.kim@outlook.com,U-1000,prospecting,123577.39,2025-02-13,2024-09-17,Outbound SDR,123577.39,2025-02-13,2024-09-17,Prospecting,True
OP-03630,Copperline Foods,ava.miller@outlook.com,U-1006,Qualifcation,46290.58,2025-02-15,2024-09-26,Bulk Import,46290.58,2025-02-15,2024-09-26,Qualification,True
OP-02856,ForgePoint Systems,dev.smith@example.org,U-1002,PROSPECTING,238389.61,2026-05-17,2025-09-27,Outbound SDR,238389.61,2026-05-17,2025-09-27,Prospecting,True
OP-02536,Silverline SaaS,marcus.moore@yahoo.com,U-1001,closed won,176206.67,2025-01-07,2024-08-11,Trade Show,176206.67,2025-01-07,2024-08-11,Closed Won,True
OP-03776,Ironclad Security,ella.taylor@outlook.com,U-1018,Closed-Lost,184240.67,2026-09-13,2026-08-09,Web Form,184240.67,2026-09-13,2026-08-09,Closed Lost,True
OP-04123,Juniper Retail,lena.smith@example.org,U-1002,qualification,40640.56,2025-03-01,2025-01-05,Bulk Import,40640.56,2025-03-01,2025-01-05,Qualification,True
OP-01636,Vertex Capital,marcus.johnson@yahoo.com,U-1013,proposal,15926.77,2026-04-12,2025-09-22,Outbound SDR,15926.77,2026-04-12,2025-09-22,Proposal,True
OP-01544,Granite Ridge Co,zoe.patel@company.com,U-1001,Lost,78936.09,2024-04-14,2024-02-21,Trade Show,78936.09,2024-04-14,2024-02-21,Closed Lost,True
OP-02469,Juniper Retail,liam.wilson@example.org,U-1028,Qualified,"$97,812",2025-11-05,2025-06-29,Inbound Call,97812.0,2025-11-05,2025-06-29,Qualification,True
OP-01664,Juniper Retail,sofia.garcia@yahoo.com,U-1003,Negotiation,"$87,554",2026-08-03,2026-07-08,Outbound SDR,87554.0,2026-08-03,2026-07-08,Proposal,True
OP-00566,Juniper Retail,dev.wilson@company.com,U-1039,Closed-Lost,"$210,747",2025-06-28,2025-02-18,Web Form,210747.0,2025-06-28,2025-02-18,Closed Lost,True
OP-04086,Yellowpine Lumber,nina.nguyen@example.org,U-1020,Proposal Sent,"$26,763.83",2024-11-24,2024-08-07,Inbound Call,26763.83,2024-11-24,2024-08-07,Proposal,True
OP-01286,BluePeak Logistics,maya.miller@example.org,U-1022,Qualified,"$188,398.76",2024-09-16,2024-04-22,Trade Show,188398.76,2024-09-16,2024-04-22,Qualification,True
OP-01093,Onyx Pharma,chris.miller@outlook.com,U-1023,PROSPECTING,38656.13,2025-09-25,2025-04-24,Web Form,38656.13,2025-09-25,2025-04-24,Prospecting,True
OP-00579,Harborline Bank,ben.miller@gmail.com,U-1000,Prospect,187373.97,2024-09-08,2024-04-04,Trade Show,187373.97,2024-09-08,2024-04-04,Prospecting,True
OP-00212,Zephyr Airlines,priya.wilson@yahoo.com,U-1018,Discovery,102047.43,2025-07-18,2025-06-01,Inbound Call,102047.43,2025-07-18,2025-06-01,Qualification,True
OP-03611,Northgate Auto,maya.miller@example.org,U-1017,Discovery,32611.39,2026-06-20,2026-05-03,Trade Show,32611.39,2026-06-20,2026-05-03,Qualification,True
OP-03764,Everline Health,raj.lee@gmail.com,U-1030,Qualifcation,229779.01,2024-06-27,2024-01-28,Bulk Import,229779.01,2024-06-27,2024-01-28,Qualification,True
OP-03891,Willow Creek Farms,lena.davis@company.com,U-1012,,89284.59,2025-07-10,2025-01-03,Inbound Call,89284.59,2025-07-10,2025-01-03,,True
OP-02312,Ironclad Security,priya.davis@yahoo.com,admin,Quote Sent,45601.06,2025-05-18,2024-11-19,Trade Show,45601.06,2025-05-18,2024-11-19,Proposal,True
OP-01098,Juniper Retail,aisha.thomas@outlook.com,U-1011,ClosedLost,12561.66,,2024-09-09,Outbound SDR,12561.66,,2024-09-09,Closed Lost,True
OP-04399,Onyx Pharma,ava.smith@outlook.com,U-1032,,67858.76,2024-05-14,2024-01-05,Trade Show,67858.76,2024-05-14,2024-01-05,,True
OP-01796,Quartzline Telecom,rajtaylor@example.org,U-1005,Proposal,244920.65,2025-10-17,2025-07-13,Web Form,244920.65,2025-10-17,2025-07-13,Proposal,True
OP-04619,Xenon Robotics,lena.taylor@gmail.com,U-1018,Qualified,176280.12,2024-09-23,2024-03-16,Trade Show,176280.12,2024-09-23,2024-03-16,Qualification,True
OP-01316,Willow Creek Farms,aisha.miller@example.org,U-1003,Qualifcation,107627.87,2025-12-06,2025-09-20,Web Form,107627.87,2025-12-06,2025-09-20,Qualification,True
OP-02020,Meridian Freight,nina.smith@company.com,U-1035,ClosedLost,195488.93,2026-04-16,2026-04-06,Partner Referral,195488.93,2026-04-16,2026-04-06,Closed Lost,True
OP-D0198,Onyx Pharma,chris.brown@outlook.com,U-1021,Proposal Sent,"$200,353.28",,2024-06-01,Bulk Import,200353.28,,2024-06-01,Proposal,True
OP-03925,Willow Creek Farms,chris.taylor@example.org,U-1027,PROSPECTING,39062.03,2026-06-02,2025-11-14,Web Form,39062.03,2026-06-02,2025-11-14,Prospecting,True
OP-02937,Yellowpine Lumber,nina.davis@outlook.com,U-1031,qualification,234074.05,2026-09-05,2026-07-13,Bulk Import,234074.05,2026-09-05,2026-07-13,Qualification,True
OP-01033,Juniper Retail,dev.miller@outlook.com,U-1015,closed won,153772.70,2026-03-09,2025-12-27,Trade Show,153772.7,2026-03-09,2025-12-27,Closed Won,True
OP-03167,BluePeak Logistics,kara.lee@yahoo.com,U-1031,Proposal Sent,5169.87,2024-08-21,2024-07-08,Trade Show,5169.87,2024-08-21,2024-07-08,Proposal,True
OP-00924,Redwood Outdoors,lena.miller@gmail.com,U-1004,New Lead,,2026-07-23,2026-02-25,Partner Referral,,2026-07-23,2026-02-25,Prospecting,True
OP-02993,Willow Creek Farms,owen.johnson@yahoo.com,U-1037,Qualifcation,"$47,070.52",,2024-06-04,Outbound SDR,47070.52,,2024-06-04,Qualification,True
OP-00592,Willow Creek Farms,aisha.johnson@yahoo.com,U-1038,Quote Sent,91746.53,2025-01-01,2024-09-03,Inbound Call,91746.53,2025-01-01,2024-09-03,Proposal,True
OP-03467,Xenon Robotics,sofia.smith@example.org,U-1019,Won,214785.45,2024-08-19,2024-08-12,Outbound SDR,214785.45,2024-08-19,2024-08-12,Closed Won,True
OP-04341,Quartzline Telecom,tom.miller@@gmail.com,U-1037,PROSPECTING,214579.06,2027-03-06,2026-08-03,Inbound Call,214579.06,2027-03-06,2026-08-03,Prospecting,False
OP-01261,Vertex Capital,liam.taylor@outlook.com,U-1022,New Lead,"$64,241.71",2025-03-25,2025-03-18,Bulk Import,64241.71,2025-03-25,2025-03-18,Prospecting,True
OP-01992,Copperline Foods,maya.smith@example.org,U-1026,ClosedLost,13973.27,2024-12-20,2024-08-15,Outbound SDR,13973.27,2024-12-20,2024-08-15,Closed Lost,True
OP-01974,Umbra Defense,,U-1035,Qualifcation,"$121,066.54",2024-10-15,2024-03-18,Inbound Call,121066.54,2024-10-15,2024-03-18,Qualification,
OP-00549,Yellowpine Lumber,aisha.johnson@outlook.com,U-1023,closed won,177711.07,2025-11-09,2025-06-24,Outbound SDR,177711.07,2025-11-09,2025-06-24,Closed Won,True
OP-01171,Pinnacle Travel,,U-1039,Negotiation,158129.72,2025-01-06,2024-11-22,Outbound SDR,158129.72,2025-01-06,2024-11-22,Proposal,
