deal_id,rep_name,region,quarter,product_line,deal_size,new_logo
D-0095,Jordan Ellis,West,Q1,Enterprise Suite,30379,N
D-0096,Jordan Ellis,West,Q1,Core Platform,6048,N
D-0097,Jordan Ellis,West,Q1,Enterprise Suite,24540,N
D-0098,Jordan Ellis,West,Q1,Enterprise Suite,47064,N
D-0099,Jordan Ellis,West,Q1,Core Platform,8968,Y
D-0100,Jordan Ellis,West,Q1,Core Platform,3754,Y
D-0101,Jordan Ellis,West,Q1,Enterprise Suite,138550,N
D-0102,Jordan Ellis,West,Q1,Add-on Services,2364,Y
D-0103,Jordan Ellis,West,Q2,Core Platform,3477,N
D-0104,Jordan Ellis,West,Q2,Core Platform,7112,N
D-0105,Jordan Ellis,West,Q2,Core Platform,6743,N
D-0106,Jordan Ellis,West,Q2,Enterprise Suite,15278,Y
D-0107,Jordan Ellis,West,Q2,Core Platform,5479,N
D-0108,Jordan Ellis,West,Q2,Core Platform,9377,N
D-0109,Jordan Ellis,West,Q2,Add-on Services,4794,N
D-0110,Jordan Ellis,West,Q2,Core Platform,12064,N
D-0111,Jordan Ellis,West,Q2,Enterprise Suite,19914,N
D-0112,Jordan Ellis,West,Q2,Enterprise Suite,31293,N
D-0113,Jordan Ellis,West,Q2,Enterprise Suite,39196,N
D-0114,Jordan Ellis,West,Q2,Enterprise Suite,37721,N
D-0115,Jordan Ellis,West,Q2,Add-on Services,1633,N
D-0116,Jordan Ellis,West,Q2,Enterprise Suite,59320,Y
D-0117,Jordan Ellis,West,Q2,Add-on Services,3635,N
D-0118,Jordan Ellis,West,Q3,Add-on Services,9611,N
D-0119,Jordan Ellis,West,Q3,Add-on Services,3804,N
D-0120,Jordan Ellis,West,Q3,Enterprise Suite,107118,Y
D-0121,Jordan Ellis,West,Q3,Add-on Services,2803,N
D-0122,Jordan Ellis,West,Q3,Add-on Services,7608,Y
D-0123,Jordan Ellis,West,Q3,Enterprise Suite,97908,N
D-0124,Jordan Ellis,West,Q3,Add-on Services,8209,N
D-0125,Jordan Ellis,West,Q3,Add-on Services,3404,N
D-0126,Jordan Ellis,West,Q4,Core Platform,21034,Y
D-0127,Jordan Ellis,West,Q4,Core Platform,20131,Y
D-0128,Jordan Ellis,West,Q4,Enterprise Suite,67232,Y
D-0129,Jordan Ellis,West,Q4,Core Platform,21937,Y
D-0130,Jordan Ellis,West,Q4,Add-on Services,5807,Y
D-0131,Jordan Ellis,West,Q4,Core Platform,11098,N
D-0132,Jordan Ellis,West,Q4,Enterprise Suite,96138,N
D-0133,Jordan Ellis,West,Q4,Core Platform,14711,N
D-0134,Jordan Ellis,West,Q4,Add-on Services,8001,N
D-0135,Sofia Delgado,Central,Q1,Add-on Services,9001,Y
D-0136,Sofia Delgado,Central,Q1,Enterprise Suite,83903,Y
D-0137,Sofia Delgado,Central,Q1,Core Platform,17199,N
D-0138,Sofia Delgado,Central,Q1,Core Platform,6590,N
D-0139,Sofia Delgado,Central,Q1,Core Platform,9001,N
D-0140,Sofia Delgado,Central,Q1,Core Platform,36326,Y
D-0141,Sofia Delgado,Central,Q1,Add-on Services,5626,N
D-0142,Sofia Delgado,Central,Q1,Core Platform,13180,N
D-0143,Sofia Delgado,Central,Q1,Add-on Services,5947,N
D-0144,Sofia Delgado,Central,Q1,Enterprise Suite,62365,N
D-0145,Sofia Delgado,Central,Q1,Enterprise Suite,59793,N
D-0146,Sofia Delgado,Central,Q2,Enterprise Suite,72906,N
D-0147,Sofia Delgado,Central,Q2,Enterprise Suite,163696,N
D-0148,Sofia Delgado,Central,Q2,Add-on Services,1886,Y
D-0149,Sofia Delgado,Central,Q2,Enterprise Suite,28486,N
D-0150,Sofia Delgado,Central,Q2,Enterprise Suite,35770,N
D-0151,Sofia Delgado,Central,Q2,Core Platform,3642,N
D-0152,Sofia Delgado,Central,Q2,Core Platform,6048,Y
D-0153,Sofia Delgado,Central,Q2,Add-on Services,8260,N
D-0154,Sofia Delgado,Central,Q2,Add-on Services,6178,N
D-0155,Sofia Delgado,Central,Q3,Core Platform,48414,N
D-0156,Sofia Delgado,Central,Q3,Add-on Services,36233,N
D-0157,Sofia Delgado,Central,Q3,Core Platform,29048,Y
D-0158,Sofia Delgado,Central,Q3,Add-on Services,15617,N
D-0159,Sofia Delgado,Central,Q3,Add-on Services,25925,N
D-0160,Sofia Delgado,Central,Q3,Core Platform,23739,Y
D-0161,Sofia Delgado,Central,Q3,Add-on Services,30610,Y
D-0162,Sofia Delgado,Central,Q3,Core Platform,71216,N
D-0163,Sofia Delgado,Central,Q4,Add-on Services,18764,N
D-0164,Sofia Delgado,Central,Q4,Core Platform,33897,Y
D-0165,Sofia Delgado,Central,Q4,Add-on Services,9231,N
D-0166,Sofia Delgado,Central,Q4,Add-on Services,9836,N
D-0167,Sofia Delgado,Central,Q4,Add-on Services,9685,N
D-0168,Sofia Delgado,Central,Q4,Add-on Services,3329,N
D-0169,Sofia Delgado,Central,Q4,Core Platform,41766,N
D-0170,Sofia Delgado,Central,Q4,Add-on Services,6810,N
D-0171,Sofia Delgado,Central,Q4,Enterprise Suite,40555,N
D-0172,Sofia Delgado,Central,Q4,Core Platform,20278,N
D-0173,Sofia Delgado,Central,Q4,Core Platform,14830,Y
D-0174,Sofia Delgado,Central,Q4,Enterprise Suite,90946,N
D-0175,Tyler Brooks,Central,Q1,Add-on Services,4119,N
D-0176,Tyler Brooks,Central,Q1,Core Platform,13290,N
D-0177,Tyler Brooks,Central,Q1,Enterprise Suite,23083,N
D-0178,Tyler Brooks,Central,Q1,Add-on Services,2876,Y
D-0179,Tyler Brooks,Central,Q1,Enterprise Suite,73834,N
D-0180,Tyler Brooks,Central,Q1,Core Platform,21995,N
D-0181,Tyler Brooks,Central,Q1,Add-on Services,22306,N
D-0182,Tyler Brooks,Central,Q1,Add-on Services,7073,Y
D-0183,Tyler Brooks,Central,Q1,Core Platform,25104,N
D-0184,Tyler Brooks,Central,Q2,Core Platform,10602,N
D-0185,Tyler Brooks,Central,Q2,Add-on Services,2441,N
D-0186,Tyler Brooks,Central,Q2,Core Platform,11136,N
D-0187,Tyler Brooks,Central,Q2,Core Platform,6407,N
D-0188,Tyler Brooks,Central,Q2,Enterprise Suite,38136,N
D-0189,Tyler Brooks,Central,Q2,Add-on Services,2898,N
D-0190,Tyler Brooks,Central,Q2,Core Platform,5110,N
D-0191,Tyler Brooks,Central,Q2,Enterprise Suite,25704,N
D-0192,Tyler Brooks,Central,Q2,Enterprise Suite,53467,N
D-0193,Tyler Brooks,Central,Q2,Enterprise Suite,40653,N
D-0194,Tyler Brooks,Central,Q3,Enterprise Suite,29999,Y
D-0195,Tyler Brooks,Central,Q3,Enterprise Suite,52762,N
D-0196,Tyler Brooks,Central,Q3,Core Platform,11984,N
D-0197,Tyler Brooks,Central,Q3,Core Platform,33315,N
D-0198,Tyler Brooks,Central,Q3,Enterprise Suite,11231,N
D-0199,Tyler Brooks,Central,Q3,Core Platform,28341,N
D-0200,Tyler Brooks,Central,Q3,Core Platform,30979,N
D-0201,Tyler Brooks,Central,Q3,Add-on Services,2487,N
D-0202,Tyler Brooks,Central,Q4,Core Platform,26894,Y
D-0203,Tyler Brooks,Central,Q4,Add-on Services,4417,N
D-0204,Tyler Brooks,Central,Q4,Add-on Services,10208,Y
D-0205,Tyler Brooks,Central,Q4,Core Platform,8147,Y
D-0206,Tyler Brooks,Central,Q4,Core Platform,10306,N
D-0207,Tyler Brooks,Central,Q4,Add-on Services,12171,Y
D-0208,Tyler Brooks,Central,Q4,Add-on Services,3337,N
D-0209,Tyler Brooks,Central,Q4,Core Platform,11582,Y
D-0210,Tyler Brooks,Central,Q4,Add-on Services,2945,Y
D-0211,Tyler Brooks,Central,Q4,Core Platform,78228,N
D-0212,Tyler Brooks,Central,Q4,Core Platform,10502,N
D-0213,Tyler Brooks,Central,Q4,Core Platform,21496,Y
D-0214,Tyler Brooks,Central,Q4,Enterprise Suite,75185,N
D-0215,Aisha Khan,Central,Q1,Core Platform,12306,N
D-0216,Aisha Khan,Central,Q1,Core Platform,22971,Y
D-0217,Aisha Khan,Central,Q1,Core Platform,28222,N
D-0218,Aisha Khan,Central,Q1,Core Platform,31832,N
D-0219,Aisha Khan,Central,Q1,Add-on Services,8860,N
D-0220,Aisha Khan,Central,Q1,Enterprise Suite,42989,N
D-0221,Aisha Khan,Central,Q1,Add-on Services,20346,N
D-0222,Aisha Khan,Central,Q1,Core Platform,19033,Y
D-0223,Aisha Khan,Central,Q1,Enterprise Suite,81548,N
D-0224,Aisha Khan,Central,Q1,Core Platform,7220,Y
D-0225,Aisha Khan,Central,Q1,Core Platform,10993,N
D-0226,Aisha Khan,Central,Q1,Enterprise Suite,95167,N
D-0227,Aisha Khan,Central,Q2,Core Platform,22514,Y
D-0228,Aisha Khan,Central,Q2,Core Platform,34064,N
D-0229,Aisha Khan,Central,Q2,Enterprise Suite,87719,Y
D-0230,Aisha Khan,Central,Q2,Core Platform,11550,N
D-0231,Aisha Khan,Central,Q2,Add-on Services,6286,N
D-0232,Aisha Khan,Central,Q2,Core Platform,21199,N
D-0233,Aisha Khan,Central,Q2,Core Platform,29386,N
D-0234,Aisha Khan,Central,Q2,Add-on Services,12573,N
D-0235,Aisha Khan,Central,Q2,Add-on Services,11842,N
D-0236,Aisha Khan,Central,Q2,Core Platform,13450,Y
D-0237,Aisha Khan,Central,Q2,Add-on Services,6725,Y
D-0238,Aisha Khan,Central,Q2,Core Platform,39181,Y
D-0239,Aisha Khan,Central,Q2,Core Platform,7017,N
D-0240,Aisha Khan,Central,Q3,Enterprise Suite,69180,Y
D-0241,Aisha Khan,Central,Q3,Core Platform,20226,Y
D-0242,Aisha Khan,Central,Q3,Core Platform,8245,N
D-0243,Aisha Khan,Central,Q3,Core Platform,18293,N
D-0244,Aisha Khan,Central,Q3,Core Platform,17005,N
D-0245,Aisha Khan,Central,Q3,Core Platform,11337,N
D-0246,Aisha Khan,Central,Q3,Core Platform,20483,N
D-0247,Aisha Khan,Central,Q3,Core Platform,22673,Y
D-0248,Aisha Khan,Central,Q3,Add-on Services,17263,N
D-0249,Aisha Khan,Central,Q3,Enterprise Suite,99454,Y
D-0250,Aisha Khan,Central,Q4,Core Platform,11203,Y
D-0251,Aisha Khan,Central,Q4,Core Platform,7672,N
D-0252,Aisha Khan,Central,Q4,Core Platform,16196,N
D-0253,Aisha Khan,Central,Q4,Core Platform,47735,N
D-0254,Aisha Khan,Central,Q4,Add-on Services,5480,Y
D-0255,Aisha Khan,Central,Q4,Core Platform,21919,N
D-0256,Aisha Khan,Central,Q4,Enterprise Suite,65514,N
D-0257,Aisha Khan,Central,Q4,Add-on Services,3897,N
D-0258,Aisha Khan,Central,Q4,Enterprise Suite,94131,Y
D-0259,Aisha Khan,Central,Q4,Add-on Services,8402,N
D-0260,Daniel Okafor,East,Q1,Add-on Services,9278,N
D-0261,Daniel Okafor,East,Q1,Core Platform,18928,N
D-0262,Daniel Okafor,East,Q1,Add-on Services,5815,N
D-0263,Daniel Okafor,East,Q1,Enterprise Suite,49362,N
D-0264,Daniel Okafor,East,Q1,Core Platform,26351,N
D-0265,Daniel Okafor,East,Q1,Add-on Services,7423,N
D-0266,Daniel Okafor,East,Q1,Core Platform,13361,N
D-0267,Daniel Okafor,East,Q1,Enterprise Suite,40702,N
D-0268,Daniel Okafor,East,Q1,Core Platform,12990,N
D-0269,Daniel Okafor,East,Q1,Enterprise Suite,147466,N
D-0270,Daniel Okafor,East,Q1,Core Platform,7052,N
D-0271,Daniel Okafor,East,Q1,Enterprise Suite,46640,N
D-0272,Daniel Okafor,East,Q1,Core Platform,20165,Y
D-0273,Daniel Okafor,East,Q1,Enterprise Suite,123837,Y
D-0274,Daniel Okafor,East,Q2,Core Platform,17992,N
D-0275,Daniel Okafor,East,Q2,Core Platform,30180,N
D-0276,Daniel Okafor,East,Q2,Add-on Services,66455,N
D-0277,Daniel Okafor,East,Q2,Core Platform,31631,Y
D-0278,Daniel Okafor,East,Q2,Enterprise Suite,102149,N
D-0279,Daniel Okafor,East,Q2,Core Platform,53396,N
D-0280,Daniel Okafor,East,Q2,Enterprise Suite,62392,N
D-0281,Daniel Okafor,East,Q2,Core Platform,57459,N
D-0282,Daniel Okafor,East,Q2,Add-on Services,40627,N
D-0283,Daniel Okafor,East,Q2,Core Platform,27569,N
D-0284,Daniel Okafor,East,Q2,Add-on Services,11027,Y
D-0285,Daniel Okafor,East,Q3,Core Platform,14671,N
D-0286,Daniel Okafor,East,Q3,Core Platform,6680,Y
D-0287,Daniel Okafor,East,Q3,Core Platform,33140,N
D-0288,Daniel Okafor,East,Q3,Core Platform,30913,N
D-0289,Daniel Okafor,East,Q3,Core Platform,4847,N
D-0290,Daniel Okafor,East,Q3,Enterprise Suite,22661,N
D-0291,Daniel Okafor,East,Q3,Core Platform,3930,N
D-0292,Daniel Okafor,East,Q3,Enterprise Suite,113435,N
D-0293,Daniel Okafor,East,Q3,Core Platform,11789,N
D-0294,Daniel Okafor,East,Q3,Core Platform,10872,N
D-0295,Daniel Okafor,East,Q3,Core Platform,17290,N
D-0296,Daniel Okafor,East,Q3,Enterprise Suite,54229,Y
D-0297,Daniel Okafor,East,Q3,Core Platform,18076,N
D-0298,Daniel Okafor,East,Q3,Core Platform,18600,N
D-0299,Daniel Okafor,East,Q4,Add-on Services,15240,N
D-0300,Daniel Okafor,East,Q4,Core Platform,27396,N
D-0301,Daniel Okafor,East,Q4,Core Platform,35560,N
D-0302,Daniel Okafor,East,Q4,Enterprise Suite,192861,N
D-0303,Daniel Okafor,East,Q4,Core Platform,35198,N
D-0304,Daniel Okafor,East,Q4,Core Platform,82733,N
D-0305,Daniel Okafor,East,Q4,Enterprise Suite,38826,N
D-0306,Daniel Okafor,East,Q4,Core Platform,11793,N
D-0307,Daniel Okafor,East,Q4,Add-on Services,9072,N
D-0308,Lena Fischer,East,Q1,Add-on Services,2368,Y
D-0309,Lena Fischer,East,Q1,Add-on Services,6889,N
D-0310,Lena Fischer,East,Q1,Core Platform,16038,N
D-0311,Lena Fischer,East,Q1,Enterprise Suite,47252,N
D-0312,Lena Fischer,East,Q1,Core Platform,15822,N
D-0313,Lena Fischer,East,Q1,Add-on Services,2691,N
D-0314,Lena Fischer,East,Q1,Add-on Services,9795,N
D-0315,Lena Fischer,East,Q1,Core Platform,15177,N
D-0316,Lena Fischer,East,Q1,Enterprise Suite,116246,N
D-0317,Lena Fischer,East,Q1,Add-on Services,7534,N
D-0318,Lena Fischer,East,Q1,Core Platform,15607,N
D-0319,Lena Fischer,East,Q2,Add-on Services,7523,Y
D-0320,Lena Fischer,East,Q2,Core Platform,38407,Y
D-0321,Lena Fischer,East,Q2,Core Platform,9701,Y
D-0322,Lena Fischer,East,Q2,Add-on Services,37615,Y
D-0323,Lena Fischer,East,Q2,Add-on Services,22371,N
D-0324,Lena Fischer,East,Q2,Enterprise Suite,69687,N
D-0325,Lena Fischer,East,Q2,Core Platform,25737,N
D-0326,Lena Fischer,East,Q2,Add-on Services,13462,N
D-0327,Lena Fischer,East,Q2,Core Platform,36626,N
D-0328,Lena Fischer,East,Q2,Add-on Services,10295,N
D-0329,Lena Fischer,East,Q2,Core Platform,27915,N
D-0330,Lena Fischer,East,Q2,Add-on Services,5741,N
D-0331,Lena Fischer,East,Q3,Core Platform,10476,N
D-0332,Lena Fischer,East,Q3,Core Platform,16778,N
D-0333,Lena Fischer,East,Q3,Enterprise Suite,94366,N
D-0334,Lena Fischer,East,Q3,Add-on Services,6711,Y
D-0335,Lena Fischer,East,Q3,Enterprise Suite,69322,Y
D-0336,Lena Fischer,East,Q3,Enterprise Suite,44769,N
D-0337,Lena Fischer,East,Q3,Core Platform,22589,N
D-0338,Lena Fischer,East,Q3,Add-on Services,6302,N
D-0339,Lena Fischer,East,Q3,Core Platform,4665,Y
D-0340,Lena Fischer,East,Q3,Core Platform,4829,N
D-0341,Lena Fischer,East,Q3,Core Platform,21361,Y
D-0342,Lena Fischer,East,Q3,Add-on Services,3683,N
D-0343,Lena Fischer,East,Q4,Add-on Services,10925,N
D-0344,Lena Fischer,East,Q4,Core Platform,51168,N
D-0345,Lena Fischer,East,Q4,Add-on Services,7284,N
D-0346,Lena Fischer,East,Q4,Core Platform,20940,Y
D-0347,Lena Fischer,East,Q4,Enterprise Suite,94323,N
D-0348,Lena Fischer,East,Q4,Add-on Services,6191,N
D-0349,Lena Fischer,East,Q4,Add-on Services,16206,Y
D-0350,Lena Fischer,East,Q4,Core Platform,23672,Y
D-0351,Lena Fischer,East,Q4,Enterprise Suite,44430,N
D-0352,Lena Fischer,East,Q4,Add-on Services,13293,N
D-0353,Lena Fischer,East,Q4,Add-on Services,6737,N
D-0354,Chris Novak,East,Q1,Core Platform,13213,N
D-0355,Chris Novak,East,Q1,Add-on Services,8064,Y
D-0356,Chris Novak,East,Q1,Core Platform,22637,Y
D-0357,Chris Novak,East,Q1,Add-on Services,2137,N
D-0358,Chris Novak,East,Q1,Core Platform,17196,Y
D-0359,Chris Novak,East,Q1,Add-on Services,2817,N
D-0360,Chris Novak,East,Q1,Add-on Services,10784,N
D-0361,Chris Novak,East,Q1,Add-on Services,6412,N
D-0362,Chris Novak,East,Q1,Enterprise Suite,108813,N
D-0363,Chris Novak,East,Q1,Core Platform,13893,N
D-0364,Chris Novak,East,Q2,Core Platform,6793,N
D-0365,Chris Novak,East,Q2,Enterprise Suite,48399,N
D-0366,Chris Novak,East,Q2,Core Platform,18426,N
D-0367,Chris Novak,East,Q2,Core Platform,25558,N
D-0368,Chris Novak,East,Q2,Enterprise Suite,74551,N
D-0369,Chris Novak,East,Q2,Core Platform,5944,N
D-0370,Chris Novak,East,Q2,Core Platform,19275,Y
D-0371,Chris Novak,East,Q2,Core Platform,3991,N
D-0372,Chris Novak,East,Q2,Core Platform,14944,N
D-0373,Chris Novak,East,Q2,Core Platform,13331,N
D-0374,Chris Novak,East,Q2,Add-on Services,7642,Y
D-0375,Chris Novak,East,Q3,Core Platform,17309,N
D-0376,Chris Novak,East,Q3,Enterprise Suite,27449,N
D-0377,Chris Novak,East,Q3,Add-on Services,12188,Y
D-0378,Chris Novak,East,Q3,Add-on Services,12188,N
D-0379,Chris Novak,East,Q3,Core Platform,23455,N
D-0380,Chris Novak,East,Q3,Enterprise Suite,65448,N
D-0381,Chris Novak,East,Q3,Add-on Services,13417,N
D-0382,Chris Novak,East,Q3,Core Platform,13315,Y
D-0383,Chris Novak,East,Q3,Add-on Services,11471,N
D-0384,Chris Novak,East,Q3,Core Platform,7989,N
D-0385,Chris Novak,East,Q4,Core Platform,48200,Y
D-0386,Chris Novak,East,Q4,Core Platform,31693,Y
D-0387,Chris Novak,East,Q4,Core Platform,14526,Y
D-0388,Chris Novak,East,Q4,Add-on Services,10234,N
D-0389,Chris Novak,East,Q4,Core Platform,63387,N
D-0390,Chris Novak,East,Q4,Core Platform,23440,N
D-0391,Chris Novak,East,Q4,Core Platform,40607,N
D-0392,Chris Novak,East,Q4,Add-on Services,16177,N
D-0393,Chris Novak,East,Q4,Add-on Services,11885,N
D-0394,Maria Santos,South,Q1,Core Platform,13161,Y
D-0395,Maria Santos,South,Q1,Add-on Services,5354,N
D-0396,Maria Santos,South,Q1,Core Platform,29223,Y
D-0397,Maria Santos,South,Q1,Enterprise Suite,74953,N
D-0398,Maria Santos,South,Q1,Enterprise Suite,77853,N
D-0399,Maria Santos,South,Q1,Enterprise Suite,55769,Y
D-0400,Maria Santos,South,Q1,Add-on Services,12269,N
D-0401,Maria Santos,South,Q1,Core Platform,12269,Y
D-0402,Maria Santos,South,Q1,Add-on Services,18961,N
D-0403,Maria Santos,South,Q1,Add-on Services,23200,N
D-0404,Maria Santos,South,Q2,Enterprise Suite,46769,N
D-0405,Maria Santos,South,Q2,Add-on Services,8160,N
D-0406,Maria Santos,South,Q2,Enterprise Suite,121800,N
D-0407,Maria Santos,South,Q2,Core Platform,12339,N
D-0408,Maria Santos,South,Q2,Enterprise Suite,144289,Y
D-0409,Maria Santos,South,Q2,Core Platform,12538,N
D-0410,Maria Santos,South,Q3,Add-on Services,5348,N
D-0411,Maria Santos,South,Q3,Add-on Services,10199,N
D-0412,Maria Santos,South,Q3,Core Platform,21767,N
D-0413,Maria Santos,South,Q3,Core Platform,6468,N
D-0414,Maria Santos,South,Q3,Core Platform,45275,Y
D-0415,Maria Santos,South,Q3,Core Platform,19777,N
D-0416,Maria Santos,South,Q3,Core Platform,11941,N
D-0417,Maria Santos,South,Q3,Enterprise Suite,47017,N
D-0418,Maria Santos,South,Q3,Core Platform,42166,N
D-0419,Maria Santos,South,Q3,Core Platform,12811,N
D-0420,Maria Santos,South,Q3,Add-on Services,15921,N
D-0421,Maria Santos,South,Q3,Core Platform,13558,N
D-0422,Maria Santos,South,Q3,Core Platform,23508,Y
D-0423,Maria Santos,South,Q3,Add-on Services,3980,N
D-0424,Maria Santos,South,Q3,Add-on Services,18284,N
D-0425,Maria Santos,South,Q3,Add-on Services,7961,Y
D-0426,Maria Santos,South,Q3,Core Platform,6717,N
D-0427,Maria Santos,South,Q3,Add-on Services,9702,N
D-0428,Maria Santos,South,Q4,Core Platform,24974,N
D-0429,Maria Santos,South,Q4,Add-on Services,4076,Y
D-0430,Maria Santos,South,Q4,Core Platform,6590,N
D-0431,Maria Santos,South,Q4,Core Platform,8672,N
D-0432,Maria Santos,South,Q4,Add-on Services,4249,N
D-0433,Maria Santos,South,Q4,Enterprise Suite,35033,N
D-0434,Maria Santos,South,Q4,Core Platform,27576,N
D-0435,Maria Santos,South,Q4,Core Platform,6417,N
D-0436,Maria Santos,South,Q4,Core Platform,19511,N
D-0437,Maria Santos,South,Q4,Enterprise Suite,60355,Y
D-0438,Maria Santos,South,Q4,Add-on Services,5116,N
D-0439,Maria Santos,South,Q4,Add-on Services,1734,Y
D-0440,Maria Santos,South,Q4,Core Platform,24541,N
D-0441,Maria Santos,South,Q4,Enterprise Suite,93567,N
D-0442,Maria Santos,South,Q4,Core Platform,15869,N
